package,stars,downloads,gallery,description,CRAN
ComplexUpset,486,67858,TRUE,Create Complex UpSet Plots Using 'ggplot2' Components,TRUE
ggparallel,NA,63772,NA,Variations of Parallel Coordinate Plots for Categorical Data,TRUE
ggbiplot,NA,62470,NA,A Grammar of Graphics Implementation of Biplots,TRUE
ggQC,46,62260,TRUE,Quality Control Charts for 'ggplot',TRUE
ggstar,100,61856,TRUE,Multiple Geometric Shape Point Layer for 'ggplot2',TRUE
ichimoku,31,57423,TRUE,NA,NA
lindia,104,57407,TRUE,NA,NA
ggtangle,NA,56269,NA,Draw Network with Data,TRUE
ggplotAssist,NA,55848,NA,'RStudio' Addin for Teaching and Learning 'ggplot2',TRUE
autoplotly,88,54862,TRUE,NA,NA
bdscale,NA,51186,NA,Remove Weekends and Holidays from ggplot2 Axes,TRUE
jskm,NA,51097,NA,Kaplan-Meier Plot with 'ggplot2',TRUE
calendR,255,50385,TRUE,Ready to Print Monthly and Yearly Calendars Made with 'ggplot2',TRUE
granovaGG,NA,49140,NA,Graphical Analysis of Variance Using ggplot2,TRUE
ggfx,170,48215,TRUE,Pixel Filters for 'ggplot2' and 'grid',TRUE
ggpval,NA,47101,NA,Annotate Statistical Tests for 'ggplot2',TRUE
ggTimeSeries,255,46621,TRUE,Time Series Visualisations Using the Grammar of Graphics,TRUE
ggsoccer,NA,44651,NA,Plot Soccer Event Data,TRUE
ggmuller,64,44349,TRUE,Create Muller Plots of Evolutionary Dynamics,TRUE
ggswissmaps,NA,44061,NA,Offers Various Swiss Maps as Data Frames and 'ggplot2' Objects,TRUE
gglm,79,42765,TRUE,Grammar of Graphics for Linear Model Diagnostic Plots,TRUE
ggPMX,NA,42651,NA,'ggplot2' Based Tool to Facilitate Diagnostic Plots for NLME Models,TRUE
ggetho,NA,42259,NA,Visualisation of High-Throughput Behavioural (i.e. Ethomics) Data,TRUE
ggquiver,51,41850,TRUE,Quiver Plots for 'ggplot2',TRUE
gg.gap,NA,41761,NA,Define Segments in y-Axis for 'ggplot2',TRUE
ggenealogy,NA,41513,NA,Visualization Tools for Genealogical Data,TRUE
gggibbous,NA,41077,NA,"Moon Charts, a Pie Chart Alternative",TRUE
GGEBiplots,NA,40671,NA,GGE Biplots with 'ggplot2',TRUE
tvthemes,140,40233,TRUE,TV Show Themes and Color Palettes for 'ggplot2' Graphics,TRUE
ggplotlyExtra,NA,39892,NA,Extra Convenience Functions for 'Plotly',TRUE
quickReg,NA,39754,NA,"Build Regression Models Quickly and Display the Results Using
'ggplot2'",TRUE
ggasym,13,39305,TRUE,NA,NA
gapmap,NA,38615,NA,Drawing Gapped Cluster Heatmaps with 'ggplot2',TRUE
rphylopic,91,37622,TRUE,NA,NA
geomnet,97,37343,TRUE,NA,NA
plotluck,NA,36621,NA,"'ggplot2' Version of ""I'm Feeling Lucky!""",TRUE
gginference,NA,36531,NA,Visualise the Results of Inferential Statistics using 'ggplot2',TRUE
ggdemetra,NA,36357,NA,'ggplot2' Extension for Seasonal and Trading Day Adjustment with 'RJDemetra',TRUE
ggcharts,292,35823,TRUE,Shorten the Distance from Data Visualization Idea to Actual Plot,TRUE
ggbump,541,35717,TRUE,Bump Chart and Sigmoid Curves,TRUE
nord,NA,35397,NA,"Arctic Ice Studio's Nord and Group of Seven Inspired Colour
Palettes for 'ggplot2'",TRUE
ggallin,NA,34890,NA,Grab Bag of 'ggplot2' Functions,TRUE
gglorenz,31,34561,TRUE,Plotting Lorenz Curve with the Blessing of 'ggplot2',TRUE
ggdmc,NA,34539,NA,Cognitive Models,TRUE
piecepackr,59,34229,TRUE,NA,NA
ggversa,NA,32000,NA,Graficas Versatiles Con 'ggplot2',TRUE
nflplotR,20,31806,TRUE,NFL Logo Plots in 'ggplot2' and 'gt',TRUE
ggChernoff,36,31681,TRUE,Chernoff Faces for 'ggplot2',TRUE
ggghost,NA,30633,NA,Capture the Spirit of Your 'ggplot2' Calls,TRUE
swimplot,NA,30184,NA,Tools for Creating Swimmers Plots using 'ggplot2',TRUE
ggperiodic,21,30057,TRUE,Easy Plotting of Periodic Data with 'ggplot2',TRUE
gghalfnorm,NA,30012,NA,Create a Half Normal Plot Using 'ggplot2',TRUE
contribution,NA,29697,NA,A Tiny Contribution Table Generator Based on 'ggplot2',TRUE
aRtsy,NA,29684,NA,Generative Art with 'ggplot2',TRUE
ggOceanMaps,NA,29617,NA,Plot Data on Oceanographic Maps using 'ggplot2',TRUE
ggstream,NA,29123,NA,Create Streamplots in 'ggplot2',TRUE
ggrain,75,29091,TRUE,A Rainclouds Geom for 'ggplot2',TRUE
ggrisk,NA,27936,NA,Risk Score Plot for Cox Regression,TRUE
deeptime,90,27543,TRUE,NA,NA
ggblanket,168,26858,TRUE,Simplify 'ggplot2' Visualisation,TRUE
ggdensity,229,26733,TRUE,Interpretable Bivariate Density Visualization with 'ggplot2',TRUE
add2ggplot,NA,26640,NA,Add to 'ggplot2',TRUE
ggsom,13,26543,TRUE,New Data Visualisations for SOMs Networks,TRUE
ggpage,340,26068,TRUE,Creates Page Layout Visualizations,TRUE
ggisotonic,NA,25152,NA,'ggplot2' Friendly Isotonic or Monotonic Regression Curves,TRUE
ggfocus,NA,25071,NA,Scales that Focus Specific Levels in your ggplot(),TRUE
plothelper,NA,24992,NA,"New Plots Based on 'ggplot2' and Functions to Create Regular
Shapes",TRUE
