package,description,downloads,CRAN
ggseas,'stats' for Seasonal Adjustment on the Fly with 'ggplot2',116013,TRUE
ggsector,Draw Sectors,7682,TRUE
ggseg,Plotting Tool for Brain Atlases,24139,TRUE
ggseg3d,Tri-Surface Mesh Plots for Brain Atlases,14723,TRUE
ggsem,Interactively Visualize Structural Equation Modeling Diagrams,1928,TRUE
ggseqlogo,A 'ggplot2' Extension for Drawing Publication-Ready Sequence Logos,146982,TRUE
ggseqplot,Render Sequence Plots using 'ggplot2',16594,TRUE
ggshadow,Shadow and Glow Geoms for 'ggplot2',15519,TRUE
ggside,Side Grammar Graphics,271919,TRUE
ggsignif,Significance Brackets for 'ggplot2',11814171,TRUE
ggsmc,Visualising Output from Sequential Monte Carlo Samplers and Ensemble-Based Methods,3889,TRUE
ggsoccer,Plot Soccer Event Data,44547,TRUE
ggsolvencyii,A 'ggplot2'-Plot of Composition of Solvency II SCR: SF and IM,22231,TRUE
ggsom,New Data Visualisations for SOMs Networks,26495,TRUE
ggspark,'ggplot2' Functions to Create Tufte Style Sparklines,1714,TRUE
ggspatial,Spatial Data Framework for ggplot2,573468,TRUE
ggspectra,Extensions to 'ggplot2' for Radiation Spectra,70770,TRUE
ggstackplot,Create Overlapping Stacked Plots,488,TRUE
ggstance,Horizontal 'ggplot2' Components,1405678,TRUE
ggstar,Multiple Geometric Shape Point Layer for 'ggplot2',61576,TRUE
ggstats,Extension to 'ggplot2' for Plotting Stats,1232770,TRUE
ggstatsplot,'ggplot2' Based Plots with Statistical Details,606354,TRUE
ggstream,Create Streamplots in 'ggplot2',28955,TRUE
ggstudent,Continuous Confidence Interval Plots using t-Distribution,12619,TRUE
ggsurveillance,Tools for Outbreak Investigation/Infectious Disease Surveillance,1032,TRUE
ggsurvey,Simplifying 'ggplot2' for Survey Data,8596,TRUE
ggsurvfit,Flexible Time-to-Event Figures,154373,TRUE
ggswissmaps,Offers Various Swiss Maps as Data Frames and 'ggplot2' Objects,44013,TRUE
ggtangle,Draw Network with Data,52516,TRUE
ggtaxplot,Create Plots to Visualize Taxonomy,543,TRUE
ggtea,Palettes and Themes for 'ggplot2',7967,TRUE
ggtern,"An Extension to 'ggplot2', for the Creation of Ternary Diagrams",236006,TRUE
ggtext,Improved Text Rendering Support for 'ggplot2',3219059,TRUE
ggThemeAssist,Add-in to Customize 'ggplot2' Themes,136938,TRUE
ggthemes,"Extra Themes, Scales and Geoms for 'ggplot2'",6118988,TRUE
ggthemeUL,A 'ggplot' Theme for University of Ljubljana,2763,TRUE
ggtibble,Create Tibbles and Lists of 'ggplot' Figures for Reporting,2313,TRUE
ggtikz,Post-Process 'ggplot2' Plots with 'TikZ' Code Using Plot Coordinates,11516,TRUE
ggTimeSeries,Time Series Visualisations Using the Grammar of Graphics,46559,TRUE
ggtrace,Trace and Highlight Groups of Data Points,7298,TRUE
ggtrendline,Add Trendline and Confidence Interval to 'ggplot',11234,TRUE
ggtricks,Create Sector and Other Charts Easily Using Grammar of Graphics,4919,TRUE
ggupset,Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots,147365,TRUE
ggvenn,Draw Venn Diagram by 'ggplot2',161126,TRUE
ggVennDiagram,A 'ggplot2' Implement of Venn Diagram,213202,TRUE
ggversa,Graficas Versatiles Con 'ggplot2',31977,TRUE
ggview,'ggplot2' Picture Previewer,1878,TRUE
ggvis,Interactive Grammar of Graphics,943518,TRUE
ggvolcano,Publication-Ready Volcano Plots,2368,TRUE
ggwordcloud,A Word Cloud Geom for 'ggplot2',197992,TRUE
ggx,A Natural Language Interface to 'ggplot2',12628,TRUE
add2ggplot,Add to 'ggplot2',26554,TRUE
aplot,Decorate a 'ggplot' with Associated Information,1208520,TRUE
aRtsy,Generative Art with 'ggplot2',29366,TRUE
bdscale,Remove Weekends and Holidays from ggplot2 Axes,51129,TRUE
calendR,Ready to Print Monthly and Yearly Calendars Made with 'ggplot2',50171,TRUE
ComplexUpset,Create Complex UpSet Plots Using 'ggplot2' Components,67288,TRUE
contribution,A Tiny Contribution Table Generator Based on 'ggplot2',29655,TRUE
cowplot,Streamlined Plot Theme and Plot Annotations for 'ggplot2',17503084,TRUE
cytofan,Plot Fan Plots for Cytometry Data using 'ggplot2',24241,TRUE
egg,"Extensions for 'ggplot2': Custom Geom, Custom Themes, Plot
Alignment, Labelled Panels, Symmetric Scales, and Fixed Panel
Size",739893,TRUE
figpatch,"Easily Arrange External Figures with Patchwork Alongside
'ggplot2' Figures",13639,TRUE
fillpattern,Patterned Fills for 'ggplot2' and 'grid' Graphics,6775,TRUE
flowmapper,"Draw Flows (Migration, Goods, Money, Information) on 'ggplot2'
Plots",2878,TRUE
gamlss.ggplots,"Plotting Functions for Generalized Additive Model for Location
Scale and Shape",8804,TRUE
gapmap,Drawing Gapped Cluster Heatmaps with 'ggplot2',38568,TRUE
geofacet,'ggplot2' Faceting Utilities for Geographical Data,89299,TRUE
geomtextpath,Curved Text in 'ggplot2',103344,TRUE
granovaGG,Graphical Analysis of Variance Using ggplot2,49102,TRUE
gratia,"Graceful 'ggplot'-Based Graphics and Other Functions for GAMs
Fitted Using 'mgcv'",128010,TRUE
gwaRs,"Manhattan, Q-Q, and PCA Plots using 'ggplot2'",13912,TRUE
heatmaply,Interactive Cluster Heat Maps Using 'plotly' and 'ggplot2',674548,TRUE
hrbrthemes,"Additional Themes, Theme Components and Utilities for 'ggplot2'",2959311,TRUE
ipeaplot,Add Ipea Editorial Standards to 'ggplot2' Graphics,2850,TRUE
jcolors,"Colors Palettes for R and 'ggplot2', Additional Themes for
'ggplot2'",95169,TRUE
jskm,Kaplan-Meier Plot with 'ggplot2',50854,TRUE
layer,Tilt your Maps and Turn Them into 'ggplot' Plots,3877,TRUE
legendry,Extended Legends and Axes for 'ggplot2',2221,TRUE
lemon,Freshing Up your 'ggplot2' Plots,279283,TRUE
loon.ggplot,A Grammar of Interactive Graphics,23305,TRUE
mlbplotR,"Create 'ggplot2' and 'gt' Visuals with Major League Baseball
Logos",7191,TRUE
nflplotR,NFL Logo Plots in 'ggplot2' and 'gt',31575,TRUE
nord,"Arctic Ice Studio's Nord and Group of Seven Inspired Colour
Palettes for 'ggplot2'",35339,TRUE
onsvplot,"National Road Safety Observatory (ONSV) Style for 'ggplot2'
Graphics",9931,TRUE
painbow,"Use XKCD's ""Painbow"" Colormap in ggplot2",7547,TRUE
plothelper,"New Plots Based on 'ggplot2' and Functions to Create Regular
Shapes",24924,TRUE
plotluck,"'ggplot2' Version of ""I'm Feeling Lucky!""",36578,TRUE
plotthis,"High-Level Plotting Built Upon 'ggplot2' and Other Plotting
Packages",2787,TRUE
qqplotr,Quantile-Quantile Plot Extensions for 'ggplot2',446393,TRUE
qtl2ggplot,Data Visualization for QTL Experiments,12862,TRUE
quickReg,"Build Regression Models Quickly and Display the Results Using
'ggplot2'",39613,TRUE
RcmdrPlugin.KMggplot2,R Commander Plug-in for Data Visualization with 'ggplot2',130883,TRUE
RGraphSpace,A Lightweight Interface Between 'ggplot2' and 'igraph' Objects,2578,TRUE
see,Model Visualisation Toolbox for 'easystats' and 'ggplot2',699738,TRUE
smplot2,"Create Standalone and Composite Plots in 'ggplot2' for
Publications",10881,TRUE
SparseBiplots,"'HJ-Biplot' using Different Ways of Penalization Plotting with
'ggplot2'",19104,TRUE
sportyR,Plot Scaled 'ggplot' Representations of Sports Playing Surfaces,21580,TRUE
stevethemes,Steve's 'ggplot2' Themes and Related Theme Elements,4193,TRUE
survminer,Drawing Survival Curves using 'ggplot2',2333100,TRUE
